#Wavelength (nm)	%Transmission
# Transmission for uncoated UV fused silica
# From: ThorLabs Excel spreadsheet linked from https://www.thorlabs.com/NewGroupPage9.cfm?ObjectGroup_ID=3983
1583	0.936261
1584	0.9362637
1585	0.9362665
1586	0.9362692
1587	0.936272
1588	0.9362747
1589	0.9362775
1590	0.9362803
1591	0.936283
1592	0.9362858
1593	0.9362885
1594	0.9362913
1595	0.9362941
1596	0.9362968
1597	0.9362996
1598	0.9363024
1599	0.9363051
1600	0.9363079
1601	0.9363107
1602	0.9363135
1603	0.9363162
1604	0.936319
1605	0.9363218
1606	0.9363246
1607	0.9363273
1608	0.9363301
1609	0.9363329
1610	0.9363357
1611	0.9363385
1612	0.9363412
1613	0.936344
1614	0.9363468
1615	0.9363496
1616	0.9363524
1617	0.9363552
1618	0.936358
1619	0.9363608
1620	0.9363635
1621	0.9363663
1622	0.9363691
1623	0.9363719
1624	0.9363747
1625	0.9363775
1626	0.9363803
1627	0.9363831
1628	0.9363859
1629	0.9363887
1630	0.9363915
1631	0.9363943
1632	0.9363971
1633	0.9363999
1634	0.9364027
1635	0.9364055
1636	0.9364084
1637	0.9364112
1638	0.936414
1639	0.9364168
1640	0.9364196
1641	0.9364224
1642	0.9364252
1643	0.936428
1644	0.9364309
1645	0.9364337
1646	0.9364365
1647	0.9364393
1648	0.9364421
1649	0.936445
1650	0.9364478
1651	0.9364506
1652	0.9364534
1653	0.9364563
1654	0.9364591
1655	0.9364619
1656	0.9364648
1657	0.9364676
1658	0.9364704
1659	0.9364733
1660	0.9364761
1661	0.9364789
1662	0.9364818
1663	0.9364846
1664	0.9364875
1665	0.9364903
1666	0.9364931
1667	0.936496
1668	0.9364988
1669	0.9365017
1670	0.9365045
1671	0.9365074
1672	0.9365102
1673	0.9365131
1674	0.9365159
1675	0.9365188
1676	0.9365216
1677	0.9365245
1678	0.9365274
1679	0.9365302
1680	0.9365331
1681	0.9365359
1682	0.9365388
1683	0.9365417
1684	0.9365445
1685	0.9365474
1686	0.9365503
1687	0.9365531
1688	0.936556
1689	0.9365589
1690	0.9365617
1691	0.9365646
1692	0.9365675
1693	0.9365704
1694	0.9365732
1695	0.9365761
1696	0.936579
1697	0.9365819
1698	0.9365847
1699	0.9365876
1700	0.9365905
1701	0.9365934
1702	0.9365963
1703	0.9365992
1704	0.9366021
1705	0.9366049
1706	0.9366078
