# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
1048.39 672.7331
1049.14 671.8197
1049.90 670.9063
1050.65 670.0017
1051.41 669.0983
1052.16 668.195
1052.91 667.0502
1053.67 665.7176
1054.42 664.385
1055.18 663.0523
1055.93 661.7195
1056.68 660.3868
1057.44 659.054
1058.19 657.7019
1058.95 656.3348
1059.70 654.9676
1060.45 653.6003
1061.21 652.233
1061.96 650.8657
1062.72 649.4983
1063.47 648.0727
1064.22 646.5956
1064.98 645.1185
1065.73 643.6413
1066.49 642.1641
1067.24 640.6868
1067.99 639.2095
1068.75 637.8797
1069.50 636.7219
1070.26 635.5641
1071.01 634.4062
1071.76 633.2484
1072.52 632.0904
1073.27 630.9325
1074.03 629.8034
1074.78 628.7272
1075.53 627.6511
1076.29 626.5748
1077.04 625.4986
1077.80 624.4223
1078.55 623.346
1079.30 622.2291
1080.06 620.9659
1080.81 619.7027
1081.57 618.4395
1082.32 617.1762
1083.07 615.9129
1083.83 614.6496
1084.58 613.3832
1085.34 612.0501
1086.09 610.717
1086.84 609.3838
1087.60 608.0506
1088.35 606.7173
1089.11 605.384
1089.86 604.0506
1090.61 602.6918
1091.37 601.3276
1092.12 599.9633
1092.88 598.599
1093.63 597.2347
1094.38 595.8703
1095.14 594.5059
1095.89 593.7541
1096.65 593.4589
1097.40 593.1637
1098.15 592.8685
1098.91 592.5733
1099.66 592.2781
1100.42 591.9927
1101.17 591.7488
1101.92 591.5864
1102.68 591.4239
1103.43 591.2615
1104.19 591.099
1104.94 590.9365
1105.69 590.774
1106.45 590.6115
1107.20 589.9386
1107.96 589.2504
1108.71 588.5621
1109.46 587.8737
1110.22 587.1853
1110.97 586.4968
1111.73 585.8082
1112.48 584.9849
1113.23 584.0755
1113.99 583.1659
1114.74 582.2563
1115.50 581.3467
1116.25 580.4369
1117.00 579.527
1117.76 578.6021
1118.51 577.6208
1119.27 576.6395
1120.02 575.658
1120.77 574.6764
1121.53 573.6947
1122.28 572.713
1123.04 571.7311
1123.79 570.7825
1124.54 569.8429
1125.30 568.9033
1126.05 567.9636
1126.81 567.0238
1127.56 566.0839
1128.31 565.144
1129.07 564.2526
1129.82 563.4668
1130.58 562.6809
1131.33 561.8949
1132.08 561.1088
1132.84 560.3227
1133.59 559.5365
1134.35 558.7502
1135.10 557.9943
1135.85 557.2462
1136.61 556.4979
1137.36 555.7496
1138.12 555.0012
1138.87 554.2528
1139.62 553.5043
1140.38 552.8532
1141.13 552.4757
1141.89 552.0981
1142.64 551.7206
1143.39 551.343
1144.15 550.9653
1144.90 550.5876
1145.66 550.2099
1146.41 549.7598
1147.16 549.2749
1147.92 548.79
1148.67 548.305
1149.43 547.82
1150.18 547.3369
1150.93 546.8599
1151.69 546.3556
1152.44 545.3361
1153.20 544.3164
1153.95 543.2966
1154.70 542.2767
1155.46 541.2566
1156.21 540.2365
1156.97 539.2162
1157.72 538.1986
1158.47 537.1853
1159.23 536.1719
1159.98 535.1583
1160.74 534.1447
1161.49 533.1309
1162.24 532.1169
1163.00 531.1029
1163.75 530.4147
1164.51 529.8713
1165.26 529.3278
1166.01 528.7842
1166.77 528.2406
1167.52 527.6969
1168.28 527.1532
1169.03 526.6093
1169.78 525.9309
1170.54 525.2467
1171.29 524.5625
1172.05 523.8782
1172.80 523.1938
1173.55 522.5093
1174.31 521.8248
1175.06 521.1006
1175.82 520.2058
1176.57 519.311
1177.32 518.416
1178.08 517.5209
1178.83 516.6257
1179.59 515.7304
1180.34 514.835
1181.09 514.008
1181.85 513.2943
1182.60 512.5805
1183.36 511.8666
1184.11 511.1526
1184.86 510.4386
1185.62 509.7244
1186.37 509.0102
1187.13 508.3355
1187.88 507.6965
1188.63 507.0575
1189.39 506.4183
1190.14 505.7791
1190.90 505.1398
1191.65 504.5005
1192.40 503.861
1193.16 503.0485
1193.91 502.1301
1194.67 501.2116
1195.42 500.2931
1196.17 499.3743
1196.93 498.4555
1197.68 497.5366
1198.44 496.6175
1199.19 495.8704
1199.94 495.2007
1200.70 494.524
1201.45 493.8467
1202.21 493.1694
1202.96 492.4919
1203.71 491.8145
1204.47 491.1369
1205.22 490.712
1205.98 490.3859
1206.73 490.0598
1207.48 489.7336
1208.24 489.4074
1208.99 489.0811
1209.75 488.7548
1210.50 488.4285
1211.25 488.2506
1212.01 488.1338
1212.76 488.0171
1213.52 487.9003
1214.27 487.7835
1215.02 487.6666
1215.78 487.5498
1216.53 487.433
1217.29 487.067
1218.04 486.5715
1218.79 486.0759
1219.55 485.5802
1220.30 485.0845
1221.06 484.5888
1221.81 484.093
1222.56 483.5971
1223.32 483.0053
1224.07 482.3402
1224.83 481.6751
1225.58 481.0099
1226.33 480.3447
1227.09 479.6794
1227.84 479.014
1228.60 478.3486
1229.35 477.7
1230.10 477.073
1230.86 476.446
1231.61 475.8189
1232.37 475.1918
1233.12 474.5646
1233.87 473.9373
1234.63 473.31
1235.38 472.6745
1236.14 472.0151
1236.89 471.3557
1237.64 470.6962
1238.40 470.0367
1239.15 469.3771
1239.91 468.7174
1240.66 468.0577
1241.41 467.4011
1242.17 466.8123
1242.92 466.2234
1243.68 465.6344
1244.43 465.0455
1245.18 464.4564
1245.94 463.8673
1246.69 463.2782
1247.45 462.689
1248.20 462.076
1248.95 461.4569
1249.71 460.8378
1250.46 460.2228
1251.22 459.6104
1251.97 458.9979
1252.72 458.3853
1253.48 457.7726
1254.23 457.1448
1254.99 456.5016
1255.74 455.8582
1256.49 455.2147
1257.25 454.5712
1258.00 453.9276
1258.76 453.2839
1259.51 452.6402
