# Grating efficiency for Richardson/Newport 53-*-138R 110.5 l/mm grating with
# 22° nominal blaze angle. Order m=4, unpolarized light
# (Similar grating is used in Keck+NIRES and Gemini+GNIRS)
# Synthesized from S-pol and P-pol lines on Newport grating specsheet at
# https://www.gratinglab.com/Products/Product_Tables/Efficiency/Efficiency.aspx?catalog=53-*-138R
Wavelength [um],Relative Efficiency [%]
1.640,79.70898058191633595
1.641,80.00074472963534333
1.642,80.29250887735435072
1.643,80.58427302507323020
1.644,80.87603717279223758
1.645,81.16780132051123076
1.646,81.45956546823023814
1.647,81.75132961594913183
1.648,81.99210231612919131
1.649,82.12887394535032115
1.650,82.26564557457139415
1.651,82.40241720379253820
1.652,82.53918883301365383
1.653,82.67596046223472683
1.654,82.81273209145587089
1.655,82.94950372067697231
1.656,83.08627534989810215
1.657,83.22304697911918936
1.658,83.35981860834031920
1.659,83.49659023756143483
1.660,83.63336186678252204
1.661,83.77013349600365189
1.662,83.90690512522478173
1.663,84.04367675444585473
1.664,84.18044838366698457
1.665,84.31722001288810020
1.666,84.45399164210918741
1.667,84.59076327133030304
1.668,84.74690792943397355
1.669,84.91215233147508457
1.670,85.07739673351613874
1.671,85.24264113555726396
1.672,85.40788553759837498
1.673,85.57312993963941494
1.674,85.73837434168052596
1.675,85.90361874372163697
1.676,86.06886314576269115
1.677,86.23410754780380216
1.678,86.39935194984491318
1.679,86.56459635188602419
1.680,86.72984075392706416
1.681,86.89508515596818938
1.682,87.06032955800928619
1.683,87.22557396005034036
1.684,87.39081836209146559
1.685,87.55606276413257660
1.686,87.72130716617361657
1.687,87.88655156821472758
1.688,88.05179597025583860
1.689,88.21704037229694961
1.690,88.38228477433800379
1.691,88.54752917637911480
1.692,88.71277357842022582
1.693,88.87801798046127999
1.694,89.04326238250239101
1.695,89.20850678454350202
1.696,89.37375118658454198
1.697,89.45719419124979765
1.698,89.49834345363339594
1.699,89.48284511293653054
1.700,89.46734677223966514
1.701,89.45184843154278553
1.702,89.43635009084592014
1.703,89.42085175014902632
1.704,89.40535340945216092
1.705,89.38985506875529552
1.706,89.37435672805843012
1.707,89.35885838736155051
1.708,89.34336004666467090
1.709,89.32786170596781972
1.710,89.31236336527094011
1.711,89.29686502457406050
1.712,89.28136668387718089
1.713,89.26586834318031549
1.714,89.25037000248345009
1.715,89.23487166178657048
1.716,89.21937332108970509
1.717,89.17405308080279269
1.718,89.08064552475059372
1.719,88.98723796869842317
1.720,88.89383041264620999
1.721,88.80042285659402523
1.722,88.70701530054181205
1.723,88.61068834926045668
1.724,88.49794507596749327
1.725,88.38520180267452986
1.726,88.27245852938160908
1.727,88.15971525608865988
1.728,88.04697198279569648
1.729,87.93422870950278991
1.730,87.82148543620984071
1.731,87.70874216291687731
1.732,87.59599888962397074
1.733,87.48325561633100733
1.734,87.37051234303805813
1.735,87.25776906974509473
1.736,87.14502579645217395
1.737,87.03228252315922475
1.738,86.91953924986626134
1.739,86.80679597657334057
1.740,86.69405270328039137
1.741,86.58130942998742796
