# ThorLabs 400nm longpass cutoff filter
#Wavelength [nm], Transmission[%]
1748,97.42596
1749,97.439901
1750,97.431187
1751,97.429057
1752,97.452063
1753,97.419604
1754,97.438233
1755,97.478804
1756,97.509287
1757,97.49927
1758,97.502491
1759,97.502806
1760,97.529659
1761,97.537965
1762,97.561068
1763,97.575233
1764,97.608414
1765,97.634047
1766,97.636723
1767,97.646026
1768,97.676907
1769,97.680163
1770,97.705425
1771,97.714302
1772,97.70897
1773,97.725449
1774,97.75049
1775,97.789094
1776,97.804746
1777,97.786315
1778,97.835898
1779,97.848993
1780,97.826579
1781,97.828466
1782,97.826192
1783,97.86935
1784,97.827624
1785,97.820625
1786,97.865708
1787,97.874004
1788,97.856702
1789,97.859953
1790,97.836147
1791,97.86669
1792,97.87445
1793,97.872549
1794,97.877697
1795,97.854713
1796,97.876166
1797,97.849789
1798,97.847786
1799,97.840655
1800,97.869388
1801,97.864947
1802,97.850055
1803,97.814062
1804,97.838129
1805,97.814457
1806,97.807719
1807,97.787448
1808,97.789635
1809,97.769906
1810,97.740237
1811,97.730242
1812,97.719506
1813,97.707808
1814,97.687403
1815,97.701734
1816,97.704396
1817,97.694551
1818,97.616594
1819,97.627775
1820,97.635284
1821,97.642713
1822,97.601945
1823,97.581971
1824,97.593806
1825,97.597046
1826,97.576311
1827,97.578842
1828,97.557134
1829,97.609032
1830,97.626369
1831,97.577924
1832,97.57275
1833,97.550181
1834,97.594927
1835,97.574095
1836,97.536533
1837,97.568364
1838,97.575946
1839,97.590734
1840,97.553659
1841,97.559828
1842,97.554753
1843,97.620127
1844,97.652721
1845,97.614461
1846,97.632683
1847,97.602556
1848,97.627307
1849,97.671607
1850,97.666017
1851,97.642709
1852,97.66818
1853,97.710094
1854,97.693905
1855,97.697825
1856,97.68703
1857,97.716693
1858,97.744199
1859,97.736513
1860,97.714999
1861,97.780672
1862,97.820307
1863,97.814003
1864,97.816479
1865,97.839057
1866,97.891499
1867,97.838872
1868,97.854339
1869,97.906023
1870,97.925349
1871,97.87901
1872,97.910738
1873,97.911504
1874,97.93945
1875,97.927248
1876,97.91571
1877,97.94936
1878,97.98478
1879,97.974956
1880,97.955541
1881,97.967014
1882,97.971707
1883,97.96276
1884,97.945335
1885,97.937433
1886,97.974017
1887,97.977582
1888,97.98923
1889,97.971128
1890,97.959912
1891,97.923182
1892,97.944612
1893,97.931702
1894,97.907785
1895,97.882992
1896,97.843711
1897,97.841517
1898,97.873583
1899,97.807919
1900,97.772828
1901,97.741402
1902,97.710056
1903,97.708052
1904,97.699554
1905,97.594659
1906,97.631394
1907,97.645016
1908,97.604513
1909,97.599011
1910,97.553041
1911,97.520048
1912,97.524261
1913,97.470243
1914,97.451314
1915,97.40952
1916,97.388516
1917,97.366625
1918,97.305006
1919,97.284898
1920,97.263872
1921,97.223553
1922,97.163322
1923,97.122224
1924,97.112567
1925,97.084259
1926,97.03962
1927,97.009374
1928,96.977024
1929,96.959765
1930,96.931668
1931,96.889419
1932,96.880536
1933,96.863258
1934,96.83255
1935,96.811548
1936,96.779129
1937,96.760712
1938,96.704153
1939,96.67337
1940,96.666285
1941,96.667348
1942,96.605042
1943,96.588795
1944,96.604817
1945,96.557495
1946,96.523203
1947,96.514828
1948,96.489747
1949,96.487148
1950,96.507601
1951,96.486286
1952,96.455652
1953,96.422043
1954,96.43029
1955,96.440011
1956,96.439757
1957,96.4454
1958,96.430553
1959,96.41976
1960,96.420221
1961,96.422503
1962,96.433288
1963,96.436237
1964,96.444792
1965,96.446166
1966,96.451091
1967,96.472948
1968,96.487619
1969,96.489617
1970,96.490363
1971,96.485297
1972,96.517858
1973,96.556095
1974,96.545603
1975,96.536334
1976,96.537417
1977,96.537473
1978,96.544764
1979,96.560418
1980,96.568886
1981,96.569894
1982,96.585479
1983,96.601176
1984,96.623562
1985,96.651343
1986,96.666623
1987,96.682645
1988,96.685526
1989,96.68632
1990,96.703564
1991,96.733646
1992,96.744143
1993,96.739641
1994,96.746296
1995,96.75589
1996,96.766819
1997,96.773439
1998,96.775437
1999,96.786917
2000,96.781879
