ILDIALCT,ilab_v1,FITS/CSV file dialect
747.000,7.704000e-08,8.769200e-07
748.000,2.132330e-06,9.061200e-07
749.000,7.414300e-07,9.262400e-07
750.000,9.347100e-07,9.299300e-07
751.000,1.000000e-10,9.156200e-07
752.000,1.000000e-10,8.893300e-07
753.000,1.000000e-10,8.635600e-07
754.000,8.892400e-07,8.517900e-07
755.000,8.929000e-08,8.648000e-07
756.000,1.370370e-06,9.087300e-07
757.000,1.000000e-10,9.823500e-07
758.000,8.210600e-07,1.075970e-06
759.000,6.249800e-07,1.175250e-06
760.000,2.719210e-06,1.263950e-06
761.000,1.307150e-06,1.327710e-06
762.000,1.000000e-10,1.356210e-06
763.000,5.585400e-07,1.344810e-06
764.000,2.375790e-06,1.294660e-06
765.000,1.667590e-06,1.212940e-06
766.000,1.915700e-07,1.110290e-06
767.000,9.832400e-07,1.000530e-06
768.000,1.100760e-06,8.993100e-07
769.000,4.176600e-07,8.230100e-07
770.000,1.031010e-06,7.875200e-07
771.000,7.050200e-07,8.057200e-07
772.000,1.000000e-10,8.842800e-07
773.000,8.867900e-07,1.021180e-06
774.000,1.062600e-06,1.202390e-06
775.000,1.296380e-06,1.402260e-06
776.000,1.000000e-10,1.588200e-06
777.000,1.000000e-10,1.728650e-06
778.000,2.737380e-06,1.800040e-06
779.000,1.870620e-06,1.793610e-06
780.000,1.000000e-10,1.718230e-06
781.000,1.116350e-06,1.598160e-06
782.000,1.000000e-10,1.462320e-06
783.000,1.064380e-06,1.337820e-06
784.000,1.362860e-06,1.242490e-06
785.000,1.111720e-06,1.183470e-06
786.000,1.000000e-10,1.163910e-06
787.000,1.000000e-10,1.160930e-06
788.000,1.489860e-06,1.140190e-06
789.000,7.758300e-07,1.060980e-06
790.000,1.000000e-10,8.696000e-07
791.000,1.141410e-06,5.453300e-07
792.000,2.286420e-06,1.291400e-07
793.000,1.435440e-06,-2.417000e-07
794.000,8.866400e-07,-2.728900e-07
795.000,2.592230e-06,4.422600e-07
796.000,6.613800e-07,2.345180e-06
797.000,2.297120e-06,5.788840e-06
798.000,1.546020e-06,1.089911e-05
799.000,3.607420e-06,1.745495e-05
800.000,4.434673e-05,2.486879e-05
801.000,4.645559e-05,3.225086e-05
802.000,4.068753e-05,3.856538e-05
